iter	Passed	Remaining
396	743	1128
397	745	1127
398	746	1125
399	748	1122
400	750	1120
401	751	1118
402	753	1116
403	755	1114
404	761	1118
405	763	1116
406	765	1114
407	767	1113
408	769	1111
409	771	1109
410	773	1108
411	776	1107
412	778	1105
413	779	1103
414	781	1101
415	783	1099
416	784	1097
417	786	1095
418	792	1098
419	794	1097
420	796	1095
421	798	1093
422	800	1092
423	802	1090
424	805	1090
425	809	1090
426	810	1087
427	812	1085
428	814	1083
429	815	1081
430	817	1079
431	820	1078
432	822	1077
433	824	1074
434	825	1072
435	827	1070
436	829	1068
437	830	1066
438	832	1063
439	834	1062
440	837	1061
441	839	1059
442	840	1057
443	843	1055
444	844	1053
445	846	1051
446	848	1049
447	851	1049
448	854	1048
449	856	1046
450	858	1044
451	860	1042
452	861	1040
453	863	1038
454	866	1037
455	868	1036
456	870	1034
457	872	1031
458	873	1029
459	875	1027
460	877	1025
461	878	1023
462	882	1023
463	884	1021
464	886	1019
465	888	1017
466	889	1015
467	891	1013
468	893	1011
469	895	1009
470	897	1008
471	899	1006
472	901	1004
473	902	1001
474	904	999
475	906	997
476	907	995
477	909	993
478	912	992
479	914	990
480	915	988
481	917	985
482	918	983
483	920	981
484	922	979
485	923	976
486	925	974
487	927	973
488	930	972
489	932	970
490	933	968
491	935	965
492	937	963
493	938	961
494	940	959
495	944	959
496	947	959
497	949	957
498	951	955
499	953	953
500	955	951
501	958	950
502	961	949
503	963	947
504	964	945
505	966	943
506	968	941
507	969	939
508	971	937
509	975	937
510	977	935
511	979	933
512	981	931
513	982	929
514	984	927
515	985	924
516	988	923
517	990	921
518	992	919
519	994	917
520	996	915
521	998	913
522	999	911
523	1001	909
524	1004	908
525	1006	906
526	1007	904
527	1009	902
528	1011	900
529	1012	898
530	1014	896
531	1016	893
532	1018	891
533	1020	890
534	1021	888
535	1023	886
536	1025	884
537	1027	881
538	1028	879
539	1030	877
540	1031	875
541	1034	874
542	1036	872
543	1038	870
544	1039	868
545	1041	866
546	1043	863
547	1044	861
548	1046	859
549	1048	857
550	1051	856
551	1052	854
552	1054	852
553	1055	850
554	1057	848
555	1059	845
556	1060	843
557	1062	841
558	1064	839
559	1066	838
560	1068	836
561	1070	834
562	1071	832
563	1073	829
564	1075	827
565	1076	825
566	1078	823
567	1081	822
568	1083	820
569	1085	818
570	1086	816
571	1088	814
572	1090	812
573	1091	810
574	1093	808
575	1095	806
576	1097	804
577	1099	802
578	1101	800
579	1102	798
580	1104	796
581	1106	794
582	1107	792
583	1109	790
584	1112	788
585	1113	786
586	1116	785
587	1118	783
588	1119	781
589	1121	779
590	1123	777
591	1124	775
592	1128	774
593	1129	772
594	1132	770
595	1134	769
596	1136	767
597	1138	765
598	1139	763
599	1144	763
600	1146	761
601	1148	759
602	1149	757
603	1151	754
604	1153	752
605	1154	750
606	1157	749
607	1160	748
608	1162	746
609	1163	744
610	1165	742
611	1167	739
612	1168	737
613	1170	735
614	1173	734
615	1175	732
616	1177	730
617	1179	728
618	1180	726
619	1182	724
620	1184	722
621	1185	720
622	1189	719
623	1191	717
624	1192	715
625	1194	713
626	1195	711
627	1197	709
628	1199	707
629	1200	705
630	1203	703
631	1205	701
632	1206	699
633	1208	697
634	1210	695
635	1212	693
636	1214	691
637	1215	689
638	1217	687
639	1220	686
640	1221	684
641	1223	682
642	1225	680
643	1226	678
644	1228	676
645	1230	674
646	1231	672
647	1234	670
648	1236	668
649	1237	666
650	1239	664
651	1241	662
652	1243	660
653	1244	658
654	1246	656
655	1248	654
656	1250	652
657	1252	651
658	1254	649
659	1256	647
660	1257	645
661	1259	643
662	1261	641
663	1262	639
664	1265	637
665	1267	635
666	1270	634
667	1271	632
668	1273	629
669	1274	627
670	1276	625
671	1278	623
672	1281	622
673	1283	620
674	1285	618
675	1286	616
676	1288	614
677	1290	612
678	1291	610
679	1293	608
680	1296	607
681	1298	605
682	1300	603
683	1302	601
684	1304	599
685	1306	597
686	1307	595
687	1309	593
688	1313	592
689	1315	590
690	1317	589
691	1322	588
692	1323	586
693	1326	585
694	1329	583
695	1332	581
696	1334	580
697	1335	577
698	1337	575
699	1339	573
700	1341	572
701	1344	570
702	1346	568
703	1350	567
704	1352	565
705	1354	563
706	1358	563
707	1361	561
708	1362	559
709	1364	557
710	1366	555
711	1368	553
712	1369	551
713	1372	549
714	1374	547
715	1376	545
716	1377	543
717	1379	541
718	1381	539
719	1382	537
720	1384	535
721	1386	533
722	1388	532
723	1390	530
724	1392	528
725	1394	526
726	1395	524
727	1397	522
728	1399	520
729	1400	518
730	1403	516
731	1405	514
732	1407	512
733	1409	510
734	1410	508
735	1412	506
736	1413	504
737	1415	502
738	1418	501
739	1420	499
740	1422	497
741	1423	495
742	1425	493
743	1427	491
744	1429	489
745	1430	487
746	1434	485
747	1435	483
748	1437	481
749	1439	479
750	1441	477
751	1442	475
752	1444	473
753	1446	471
754	1449	470
755	1451	468
756	1452	466
757	1454	464
758	1455	462
759	1457	460
760	1459	458
761	1461	456
762	1462	454
763	1465	452
764	1467	450
765	1468	448
766	1470	446
767	1472	444
768	1474	442
769	1476	440
770	1479	439
771	1481	437
772	1482	435
773	1484	433
774	1486	431
775	1488	429
776	1490	427
777	1492	425
778	1496	424
779	1497	422
780	1499	420
781	1501	418
782	1504	416
783	1506	415
784	1509	413
785	1511	411
786	1515	410
787	1516	408
788	1518	406
789	1520	404
790	1521	402
791	1523	400
792	1527	398
793	1528	396
794	1530	394
795	1532	392
796	1534	390
797	1535	388
798	1537	386
799	1540	385
800	1542	383
801	1544	381
802	1545	379
803	1547	377
804	1549	375
805	1551	373
806	1552	371
807	1555	369
808	1557	367
809	1558	365
810	1560	363
811	1562	361
812	1563	359
813	1565	357
814	1567	355
815	1568	353
816	1571	351
817	1573	350
818	1574	348
819	1576	346
820	1578	344
821	1579	342
822	1581	340
823	1583	338
824	1585	336
825	1588	334
826	1590	332
827	1592	330
828	1594	328
829	1595	326
830	1597	324
831	1599	322
832	1601	321
833	1604	319
834	1606	317
835	1607	315
836	1609	313
837	1611	311
838	1612	309
839	1614	307
840	1617	305
841	1619	303
842	1621	301
843	1623	300
844	1624	298
845	1626	296
846	1628	294
847	1630	292
848	1633	290
849	1634	288
850	1636	286
851	1638	284
852	1639	282
853	1641	280
854	1643	278
855	1644	276
856	1648	275
857	1650	273
858	1651	271
859	1653	269
860	1655	267
861	1657	265
862	1658	263
863	1660	261
864	1663	259
865	1665	257
866	1666	255
867	1668	253
868	1670	251
869	1671	249
870	1674	247
871	1676	246
872	1679	244
873	1682	242
874	1684	240
875	1686	238
876	1688	236
877	1693	235
878	1695	233
879	1697	231
880	1704	230
881	1706	228
882	1711	226
883	1712	224
884	1714	222
885	1716	220
886	1717	218
887	1719	216
888	1721	214
889	1724	213
890	1727	211
891	1729	209
892	1730	207
893	1732	205
894	1734	203
895	1735	201
896	1737	199
897	1740	197
898	1742	195
899	1744	193
900	1746	191
901	1747	189
902	1749	187
903	1751	185
904	1752	183
905	1755	182
906	1757	180
907	1758	178
908	1760	176
909	1762	174
910	1763	172
911	1765	170
912	1767	168
913	1769	166
914	1772	164
915	1774	162
916	1775	160
917	1777	158
918	1779	156
919	1780	154
920	1782	152
921	1784	150
922	1787	149
923	1789	147
924	1790	145
925	1792	143
926	1794	141
927	1795	139
928	1797	137
929	1798	135
930	1801	133
931	1803	131
932	1805	129
933	1806	127
934	1808	125
935	1810	123
936	1811	121
937	1813	119
938	1815	117
939	1818	116
940	1819	114
941	1821	112
942	1823	110
943	1825	108
944	1827	106
945	1828	104
946	1830	102
947	1833	100
948	1835	98
949	1836	96
950	1838	94
951	1840	92
952	1841	90
953	1843	88
954	1844	86
955	1847	85
956	1849	83
957	1851	81
958	1852	79
959	1854	77
960	1856	75
961	1858	73
962	1859	71
963	1863	69
964	1864	67
965	1866	65
966	1868	63
967	1869	61
968	1871	59
969	1873	57
970	1875	56
971	1879	54
972	1882	52
973	1884	50
974	1886	48
975	1887	46
976	1889	44
977	1891	42
978	1893	40
979	1896	38
980	1898	36
981	1900	34
982	1902	32
983	1903	30
984	1905	29
985	1908	27
986	1910	25
987	1912	23
988	1914	21
989	1915	19
990	1917	17
991	1919	15
992	1920	13
993	1924	11
994	1925	9
995	1927	7
996	1929	5
997	1930	3
998	1932	1
999	1934	0
